[INFO ] 2020-06-30 16:54:17.887  - Сервер запущен. /127.0.0.1:1
[INFO ] 2020-06-30 16:54:52.892  - Сервер запущен. /127.0.0.1:8080
[INFO ] 2020-06-30 16:55:13.997  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 16:55:14.000  - Соединение уcтановлено: /127.0.0.1:8080
[ERROR] 2020-06-30 16:55:14.014  - Пренудительное закрытие сервера.
[ERROR] 2020-06-30 16:55:14.015  - invalid stream header: 47455420
[INFO ] 2020-06-30 16:55:14.067  - Коллекция сохранена
[INFO ] 2020-06-30 17:01:43.182  - Сервер запущен. /127.0.0.1:8080
[INFO ] 2020-06-30 17:01:52.196  - Соединение уcтановлено: /127.0.0.1:8080
[ERROR] 2020-06-30 17:01:57.210  - Пренудительное закрытие сервера.
[ERROR] 2020-06-30 17:01:57.210  - invalid stream header: 48000000
[INFO ] 2020-06-30 17:01:57.261  - Коллекция сохранена
[INFO ] 2020-06-30 17:03:24.112  - Сервер запущен. /127.0.0.1:8080
[INFO ] 2020-06-30 17:03:36.126  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:03:44.133  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:03:44.137  - Соединение уcтановлено: /127.0.0.1:8080
[ERROR] 2020-06-30 17:03:44.149  - Пренудительное закрытие сервера.
[ERROR] 2020-06-30 17:03:44.150  - invalid stream header: 47455420
[INFO ] 2020-06-30 17:03:44.205  - Коллекция сохранена
[INFO ] 2020-06-30 17:03:56.878  - Сервер запущен. /127.0.0.1:8080
[INFO ] 2020-06-30 17:04:01.888  - Соединение уcтановлено: /127.0.0.1:8080
[ERROR] 2020-06-30 17:04:26.922  - Пренудительное закрытие сервера.
[ERROR] 2020-06-30 17:04:26.922  - invalid stream header: 30000000
[INFO ] 2020-06-30 17:04:26.992  - Коллекция сохранена
[ERROR] 2020-06-30 17:19:38.197  - Пренудительное закрытие сервера.
[ERROR] 2020-06-30 17:19:38.200  - Address already in use: bind
[INFO ] 2020-06-30 17:19:38.250  - Коллекция сохранена
[INFO ] 2020-06-30 17:22:05.006  - Сервер запущен. /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.034  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.035  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.036  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.036  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.037  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.037  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.038  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.039  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.039  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.040  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.041  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.041  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.042  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.042  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.043  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.043  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.044  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.045  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.045  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.046  - Соединение уcтановлено: /127.0.0.1:8080
